Column1,Id,Company,Acquisition date,Founded,Headcount,Headcount_bucketed,AcquiredBy,Obsolete Category,Description,Categories,Business,Acquisition Value (USD),BroadCategory,x_transition1,y_transition1,x_transition2,y_transition2,x_stable,y_stable,x_acquired1,y_acquired1,x_acquired2,y_acquired2,x_acquired_stable,y_acquired_stable
116,116,Synergyse,2016,2013,10,50,Google,AI/ML/Analytics,Interactive training for Google Apps,"Apps, Search Engine, Software, Training",Interactive tutorials,,AI/ML/Analytics,50,100,51,75,51,75,50,20,75,0,75,0
117,117,Pie,2016,2009,10,50,Google,Software,"PIE provides startups with coworking spaces, community hub, and accelerator services.","Automotive, Incubators",Enterprise communications,,Software,50,100,47,65,47,65,50,20,75,0,75,0
118,118,BandPage,2016,2009,50,50,Google,AR/VR,BandPage is the distributed marketplace that musicians use to engage and sell to fans across the largest music services in the world,"Consumer, Facebook, Marketplace, Music",Platform for musicians,,Media/Ad/Content,50,100,47,43,47,43,50,20,75,0,75,0
119,119,Fly Labs,2015,2012,10,50,Google,Software,Fly Labs makes video creativity mainstream,iOS,Video editing,,Software,50,100,52,61,52,61,50,20,75,0,75,0
120,120,bebop,2015,2012,50,50,Google,AR/VR,Bebop is a new development platform that makes it easy to build and maintain enterprise applications.,"Business Development, Enterprise, Enterprise Software",Cloud software,380000000,Software,50,100,60,80,60,80,50,20,75,0,75,0
121,121,Digisfera,2015,2011,10,50,Google,Software,"Digisfera, a startup focused on panoramic images.",Images,360-degree photography,,Software,50,100,45,54,45,54,50,20,75,0,75,0
122,122,Jibe Mobile,2015,2006,50,50,Google,AR/VR,"Jibe Mobile, the Cloud Communications Company for Mobile Operators, provides an open end-to-end technology platform for IP Communications
","File Sharing, Messaging, Mobile, Social Media",Rich Communication Services,,Software,50,100,47,79,47,79,50,20,75,0,75,0
123,123,Oyster,2015,2010,50,50,Google,AI/ML/Analytics,Post-delivery tracking of direct mail,"Email, Web Design, Web Hosting",E-book subscriptions,,AI/ML/Analytics,50,100,41,40,41,40,50,20,75,0,75,0
124,124,Pixate,2015,2012,50,50,Google,AR/VR,"Pixate is a new platform for mobile interaction design. With it, you can create sophisticated interactive native prototypes without code.","Computer, Enterprise Software, Mobile",Mobile software prototyping,,Software,50,100,47,79,47,79,50,20,75,0,75,0
125,125,Agawi,2015,2010,50,50,Google,Software,"Agawi is the world's 1st cloud-based app streaming platform for mobile, tablets and Smart TVs.","EdTech, Gaming, Mobile Apps, Mobile Devices",Mobile application streaming,,Software,50,100,55,57,55,57,50,20,75,0,75,0
126,126,Pulse.io,2015,2011,10,50,Google,Software,Pulse.io provides a mobile app performance service that helps developers identify issues slowing down their production apps.,"Apps, Mobile",Mobile app optimizer,,Software,50,100,58,80,58,80,50,20,75,0,75,0
127,127,Timeful,2015,2014,50,50,Google,AI/ML/Analytics,Timeful is a technology company dedicated to reinventing the way that people manage their most precious resource: time.,"Analytics, Artificial Intelligence, Database,Machine Learning, Task Management",Mobile software,,AI/ML/Analytics,50,100,58,69,58,69,50,20,75,0,75,0
128,128,Thrive Audio,2015,2012,1000,1000,Google,Software,Thrive Audio a young tech startup company made up live and breathe 3D virtual audio environments.,"Audio, 3d",Surround sound technology,,Software,50,100,47,42,47,42,50,20,75,0,75,0
129,129,Skillman & Hackett,2015,2014,10,50,Google,AR/VR,"Skillman & Hackett is a San Francisco design studio focused on Rapid Prototyping, Virtual Reality.","Software, Virtual reality",Virtual reality software,,AR/VR,50,100,42,74,42,74,50,20,75,0,75,0
130,130,Red Hot Labs,2015,2012,10,50,Google,AR/VR,Toro is an industry leader in running high performance Facebook campaigns for mobile apps.,"Advertising Platforms, Apps, Mobile, Software",App advertising and discovery,,Software,50,100,60,52,60,52,50,20,75,0,75,0
131,131,Softcard,2015,2011,500,500,Google,Software,"Softcard, a mobile payments platform, enables users to make payments, redeem offers, and store loyalty, membership, and reward cards.","Apps, Mobile Payments",Mobile payments,,Software,50,100,46,56,46,56,50,20,75,0,75,0
132,132,Odysee,2015,2011,10,50,Google,AR/VR,"Odysee is Nimbuz Inc's second product. Odysee is a sharable, cross platform camera roll, built over distributed storage.","Enterprise Software, Mobile Apps, Photo Sharing",Multimedia sharing and storage,,Software,50,100,52,51,52,51,50,20,75,0,75,0
133,133,Launchpad Toys,2015,2010,10,50,Google,Software,"Launchpad Toys develops digital toys and tools that empower kids to create, learn and share their ideas through play.","Apps, Education, iOS",Child-friendly apps,,Software,50,100,50,64,50,64,50,20,75,0,75,0
134,134,Vidmaker,2014,2011,10,50,Google,Media/Ad/Content,Vidmaker is a collaborative online video editor that makes it easy to work with video anywhere and with anyone.,"Collaboration, Social Media, Video",Video editing,,Media/Ad/Content,50,100,41,63,41,63,50,20,75,0,75,0
135,135,RelativeWave,2014,2012,10,50,Google,Software,RelativeWave is a research and development shop located in San Francisco that focuses on app development and design tools.,"Apps, Developer Tools",Mobile software prototyping,,Software,50,100,40,77,40,77,50,20,75,0,75,0
136,136,Revolv,2014,2011,50,50,Google,AR/VR,Revolv is a monitoring and control system that allows users to control their connected devices from a single hub.,"Internet of Things, Smart Home, Software",Home automation,,Software,50,100,48,66,48,66,50,20,75,0,75,0
137,137,Dark Blue Labs & Vision Factory,2014,2013,10,50,Google,AI/ML/Analytics,"Learning deep representations of data to make intelligent products, including natural language understanding, a reality.","Artificial Intelligence, Data Visualization, Machine Learning",Artificial intelligence,,AI/ML/Analytics,50,100,51,54,51,54,50,20,75,0,75,0
138,138,Firebase,2014,2011,250,250,Google,AR/VR,"Firebase is Google's mobile platform. Build and grow your iOS, Android, or Web app with Firebase.","Cloud Infrastructure, Developer APIs, Developer Tools, Enterprise Software, Mobile Apps, Real Time",Data synchronization,,Software,50,100,45,74,45,74,50,20,75,0,75,0
139,139,Polar,2014,1977,25,50,Google,AR/VR,Polar offers heart rate-based training solutions as well as GPS-enabled cycling computers and sports watches for endurance training.,"Fitness, Health Care, Wearables",Social polling,,Hardware,50,100,50,68,50,68,50,20,75,0,75,0
140,140,Lift Labs,2014,2010,10,50,Google,AR/VR,"Aim of enabling people, communities, companies and society to thrive","Hardware, Health Care, Medical, Software",Liftware,,Software,50,100,55,70,55,70,50,20,75,0,75,0
141,141,Zync Render,2014,2010,10,50,Google,Software,ZYNC Render is a cloud-based visual effects storage and rendering platform.,"Digital Media, Flash Storage, Social Media",Cloud-based visual effects software,,Software,50,100,42,78,42,78,50,20,75,0,75,0
142,142,Gecko Design,2014,1996,10,50,Google,Software,Gecko Design Inc. is a product design firm that converges the language of design and manufacturing.,Product Design,Mechanical design,,Software,50,100,60,63,60,63,50,20,75,0,75,0
143,143,Jetpac,2014,2011,10,50,Google,AI/ML/Analytics,Jetpac is a photo app that enables users to collect photos shared by Facebook friends of places they want to visit.,"AI, ML","Artificial intelligence, image recognition",,AI/ML/Analytics,50,100,47,44,47,44,50,20,75,0,75,0
144,144,Emu,2014,2012,10,50,Google,Media/Ad/Content,emu.me is a money messaging platform that enables its users to send and request for money via email.,E-commerce,IM client,,Media/Ad/Content,50,100,48,51,48,51,50,20,75,0,75,0
145,145,Director,2014,1984,100,100,Google,AR/VR,Director is a company that focuses on keeping consumers up to date on solar news.,"Energy, Solar",Mobile video,,Software,50,100,59,57,59,57,50,20,75,0,75,0
146,146,drawElements,2014,2008,10,50,Google,AR/VR,drawElements provides its clients with computer graphics solutions.,Enterprise Software,Graphics compatibility testing,,Software,50,100,56,71,56,71,50,20,75,0,75,0
147,147,Songza,2014,2007,50,50,Google,Media/Ad/Content,Songza is a music streaming and recommendation service offering curated playlists based on the time of day or a user's mood or activity.,Music,Music streaming,,Media/Ad/Content,50,100,59,40,59,40,50,20,75,0,75,0
148,148,Appurify,2014,2012,50,50,Google,Software,Appurify enables mobile test automation on real devices for mobile teams to build better apps.,"Android, Apps, iOS, Mobile, Test and Measurement",Automated application testing,,Software,50,100,51,62,51,62,50,20,75,0,75,0
149,149,Dropcam,2014,2009,100,100,Google,AR/VR,Dropcam develops a Wi-Fi camera with easy setup and continuous cloud recording.,"Consumer Electronics, Hardware, SaaS",Home monitoring,555000000,Hardware,50,100,50,73,50,73,50,20,75,0,75,0
150,150,mDialog,2014,2005,50,50,Google,Software,mDialog is a Canada-based company that provides video stream management services on connected devices.,"Advertising, Information Technology, Video Streaming",Online advertising,,Software,50,100,57,62,57,62,50,20,75,0,75,0
151,151,Alpental Technologies,2014,2012,10,50,Google,Software,"Alpental is developing next-generation wireless technology.It was founded in 2012 and is based in Bothell, Washington. As per the transaction announced on June 19, 2014, Alpental Technologies, Inc. operates as a subsidiary of Google Inc.",Information Technology,Wireless,,Software,50,100,51,70,51,70,50,20,75,0,75,0
152,152,Skybox Imaging,2014,2002,500,500,Google,AR/VR,Skybox Security is a global leader in security analytics for cybersecurity management,"Cloud Security, Cyber Security, Enterprise Software, Network Security, Security, Software",Satellite,500000000,Software,50,100,40,45,40,45,50,20,75,0,75,0
153,153,Divide,2014,2010,250,250,Google,AR/VR,"Divide is a dual-persona platform, which separates iOS and android devices into two personas for work and play.","Enterprise Software, Information Technology, Mobile, SaaS, Software",Mobile device management,,Software,50,100,58,62,58,62,50,20,75,0,75,0
154,154,Quest Visual,2014,2009,10,50,Google,AR/VR,Maker of Word Lens and application which instantly translates printed words from one language to another using a device's built-in video,"Data Visualization, iOS, Software",Augmented reality,,Software,50,100,40,58,40,58,50,20,75,0,75,0
155,155,Appetas,2014,2012,50,50,Google,Security,"Appetas offers a restaurant marketing platform that enables restaurants to easily create web, mobile, and social sites.","Network Security, Restaurants, SaaS",Restaurant website creation,,Security,50,100,58,57,58,57,50,20,75,0,75,0
156,156,Stackdriver,2014,2012,50,50,Google,AR/VR,Stackdriver provides monitoring services for cloud-powered applications.,"Apps, Cloud Computing, Enterprise Software, Infrastructure",Cloud computing,,Software,50,100,49,55,49,55,50,20,75,0,75,0
157,157,MyEnergy,2014,2007,50,50,Google,Software,MyEnergy is a personalized guide to energy savings with tips and incentives for reducing energy consumption and saving on utility bills.,"Clean Energy, Energy Efficiency",Online energy usage monitoring,,Software,50,100,55,44,55,44,50,20,75,0,75,0
158,158,Adometry,2014,2005,250,250,Google,AI/ML/Analytics,Adometry by Google offers a SaaS-based marketing attribution and optimization platform to improve return on advertising expenditure.,"Advertising, Analytics, SaaS",Online advertising attribution,,AI/ML/Analytics,50,100,46,60,46,60,50,20,75,0,75,0
159,159,Rangespan,2014,2011,50,50,Google,AI/ML/Analytics,Rangespan is a technology company providing supplier management and market data systems for retailers.,"Analytics, E-Commerce, Supply Chain Management",E-commerce,,AI/ML/Analytics,50,100,40,55,40,55,50,20,75,0,75,0
160,160,Titan Aerospace,2014,2012,50,50,Google,Hardware,Titan Aerospace is developing a fleet of revolutionary atmospheric satellites or atmosats.,"Aerospace, Manufacturing",High-altitude UAVs,,Hardware,50,100,58,50,58,50,50,20,75,0,75,0
161,161,GreenThrottle,2014,2012,50,50,Google,Software,"Green Throttle Games develops quality, innovative games and hardware for mobile devices.","Console Games, Consumer Electronics, Mobile",Gadgets,,Software,50,100,42,69,42,69,50,20,75,0,75,0
162,162,spider.io,2014,2011,10,50,Google,AI/ML/Analytics,Spider.io is an IT security providers offers Anti-malware solutions for online advertisers.,"Advertising, Analytics, Fraud Detection, Internet, Security",Anti-click fraud,,AI/ML/Analytics,50,100,43,41,43,41,50,20,75,0,75,0
163,163,SlickLogin,2014,2013,50,50,Google,Software,SlickLogin creates the simplest login experience for you using your smartphone.,"Mobile, Mobile Apps, Security",Internet Security,,Software,50,100,57,62,57,62,50,20,75,0,75,0
164,164,DeepMind Technologies,2014,2010,100,100,Google,AI/ML/Analytics,Google DeepMind develops learning algorithms that use data or raw experience to better themselves.,"AI, ML",Artificial intelligence,625000000,AI/ML/Analytics,50,100,55,52,55,52,50,20,75,0,75,0
165,165,Impermium,2014,2010,50,50,Google,Security,Impermium is a cyber-security company using ML to protect Internet sites against account hijacking and malicious user behavior & content.,Security,Internet security,,Security,50,100,49,45,49,45,50,20,75,0,75,0
166,166,Nest Labs,2014,2010,5000,1000,Google,AR/VR,"Nest Labs is a home automation company manufacturing sensor-driven, Wi-Fi-enabled, self-learning thermostats and smoke detectors.","Sensor, Manufacturing, Smart Home",Home automation,3200000000,Hardware,50,100,42,59,42,59,50,20,75,0,75,0
167,167,Bitspin,2014,2013,25,50,Google,Software,Bitspin is creating magical experiences.,"Apps, Web development",Timely App for Android,,Software,50,100,43,57,43,57,50,20,75,0,75,0
168,168,Autofuss,2013,2008,50,50,Google,Media/Ad/Content,"Autofuss like to fill people with wonder in what they see, what they touch.",Product Design,Ads and Design,,Media/Ad/Content,50,100,53,64,53,64,50,20,75,0,75,0
169,169,Bot & Dolly,2013,2007,50,50,Google,AI/ML/Analytics,"Bot & Dolly is a design and engineering studio that specializes in automation, robotics, and filmmaking.","Software, Robotics",Robotic cameras,,AI/ML/Analytics,50,100,40,66,40,66,50,20,75,0,75,0
170,170,Holomni,2013,2010,25,50,Google,Software,"Holomni produces powered, omnidirectional casters for mobile robots.","Mobile, Robots",Robotic wheels,,Software,50,100,49,79,49,79,50,20,75,0,75,0
171,171,Meka Robotics,2013,2007,50,50,Google,AI/ML/Analytics,Meka Robotics is a provider of world-class robotic systems for researchers.,Robotics,Robots,,AI/ML/Analytics,50,100,51,64,51,64,50,20,75,0,75,0
172,172,Redwood Robotics,2013,2012,10,50,Google,AI/ML/Analytics,Redwood Robotics building revolutionary robotic solutions for innovative manufacturing and service companies.,Robotics,Robotic arms,,AI/ML/Analytics,50,100,44,60,44,60,50,20,75,0,75,0
173,173,Industrial Perception,2013,2012,10000,1000,Google,AI/ML/Analytics,Industrial Pereception is home to some of the worldí_í‚_í_í‚_í_Œ‚í_Œ_s foremost authorities and pioneers in machine vision and artificial intelligence.,AI,"Robotic arms, computer vision",,AI/ML/Analytics,50,100,49,45,49,45,50,20,75,0,75,0
174,174,"SCHAFT, Inc.",2013,2008,25,50,Google,AI/ML/Analytics,"Robotics, humanoid robots",,"Robotics, humanoid robots",,AI/ML/Analytics,50,100,42,40,42,40,50,20,75,0,75,0
175,175,FlexyCore,2013,2008,25,50,Google,AR/VR,FlexyCore provides software solutions for smartphones.,Software,DroidBooster App for Android,23000000,Software,50,100,60,55,60,55,50,20,75,0,75,0
176,176,Flutter,2013,2010,10,50,Google,AR/VR,Recurring tweets for dynamic content,"Content, Software",Gesture recognition technology,40000000,Software,50,100,42,52,42,52,50,20,75,0,75,0
177,177,Bump,2013,2008,25,50,Google,Software,Mobile software,,Mobile software,,Software,50,100,41,47,41,47,50,20,75,0,75,0
178,178,Waze,2013,2007,100,100,Google,Software,"Waze is a mobile navigation app that enables drivers to use live maps, and get real-time traffic updates and other road data.","Mobile Apps, Navigation, Transportation",GPS navigation software,966000000,Software,50,100,49,55,49,55,50,20,75,0,75,0
179,179,Makani Power,2013,2006,50,50,Google,Hardware,"Makani Power is an Alameda, California-based company developing airborne wind turbines.",Energy,Airborne wind turbines,,Hardware,50,100,41,47,41,47,50,20,75,0,75,0
180,180,Wavii,2013,2009,10,50,Google,AI/ML/Analytics,"Wavii provides an iPhone app enabling users to follow and receive updates on topics such as celebrities, companies, and politicians.","ML, AI",Natural Language Processing,30000000,AI/ML/Analytics,50,100,57,70,57,70,50,20,75,0,75,0
181,181,Behavio,2013,2012,50,50,Google,AR/VR,"Behavio develops software and services that allow mobile devices to sense, understand, and react to human behavior and context.",Software,Social Prediction,,Software,50,100,53,65,53,65,50,20,75,0,75,0
182,182,Talaria Technologies,2013,2011,25,50,Google,AR/VR,Talaria develops a dynamic web application server that helps people build and run websites more efficiently.,"Software, Web Design, Web Development",Cloud computing,,Software,50,100,47,75,47,75,50,20,75,0,75,0
183,183,DNNresearch Inc.,2013,2012,25,50,Google,AI/ML/Analytics,DNNresearch develops voice and image recognition solutions.,AI,Deep Neural Networks,,AI/ML/Analytics,50,100,40,53,40,53,50,20,75,0,75,0
184,184,Channel Intelligence,2013,1999,10000,1000,Google,AR/VR,Channel Intelligence develops technology that connects shoppers with retailers through their brand website and digital media.,"Manufacturing, Product Search, Shopping",Product ecommerce,125000000,Hardware,50,100,58,48,58,48,50,20,75,0,75,0
185,185,BufferBox,2012,2011,50,50,Google,AR/VR,"BufferBox is a startup that develops an automated, self-serve kiosk to eliminate failed parcel deliveries.","E-Commerce, Marketplace, Shopping",Package delivery,17000000,Media/Ad/Content,50,100,42,57,42,57,50,20,75,0,75,0
186,186,Incentive Targeting Inc.,2012,2007,50,50,Google,AI/ML/Analytics,Incentive Targeting offers a software-as-a-service platform for promotional campaigns in the grocery industry.,"Public Relations, Retail",Digital coupons,,AI/ML/Analytics,50,100,60,73,60,73,50,20,75,0,75,0
187,187,Viewdle,2012,2006,50,50,Google,AI/ML/Analytics,Viewdle is a mobile-focused visual analysis company creating computer vision and recognition technologies for consumer products.,"Analytics, Augmented Reality, Computer Vision, Mobile",Facial recognition,45000000,AI/ML/Analytics,50,100,59,48,59,48,50,20,75,0,75,0
188,188,"Nik Software, Inc.",2012,1995,250,250,Google,AR/VR,Nik Software offers digital photographic software and technology for digital photography professionals.,"Image Recognition, Software",Photography,,Software,50,100,44,73,44,73,50,20,75,0,75,0
189,189,VirusTotal.com,2012,2004,50,50,Google,Security,"VirusTotal is a service that analyzes suspicious files and facilitates real-time detection of viruses, worms, trojans and malware content.",Security,Security,,Security,50,100,53,42,53,42,50,20,75,0,75,0
190,190,Wildfire Interactive,2012,2007,10,50,Google,Hardware,Wellfire Interactive is a web consultancy firm that helps businesses in various technological solutions.,"Consulting, Content, Data Integration, Developer Tools",Social media marketing,450000000,Hardware,50,100,54,61,54,61,50,20,75,0,75,0
191,191,Sparrow,2012,2009,10,50,Google,AI/ML/Analytics,Sparrow was an email client for OS X and iOS,"Email, Messaging",Mobile apps,25000000,AI/ML/Analytics,50,100,53,77,53,77,50,20,75,0,75,0
192,192,Quickoffice,2012,1980,250,250,Google,AR/VR,"Quickoffice is a freeware software platform enabling users to open, view and edit Microsoft Office files on mobile phones.","Enterprise Software, iOS, Mobile",Mobile office suite,,Software,50,100,53,69,53,69,50,20,75,0,75,0
193,193,Meebo,2012,2005,250,250,Google,Software,Meebo is a consumer internet company that offers a social media platform to develop products for enhancing user engagement across the web.,"Internet, Messaging, Web Development",Social networking,100000000,Software,50,100,60,47,60,47,50,20,75,0,75,0
194,194,TxVia,2012,2006,1000,1000,Google,Software,TxVia offers an advanced payments processing technology for emerging payments and other transactions in financial services.,"Finance, PAAS",Online payments,,Software,50,100,40,70,40,70,50,20,75,0,75,0
195,195,"Milk, Inc",2012,2011,10,50,Google,AR/VR,Milk is a mobile development lab that builds innovative mobile apps.,"Apps, Mobile, Software",Software company,,Software,50,100,42,59,42,59,50,20,75,0,75,0
196,196,Clever Sense,2011,2008,50,50,Google,AI/ML/Analytics,"Clever Sense offers a mobile app delivering personalized recommendations for nearby restaurants, coffee shops, and nightclubs.","ML, AI",Local recommendations app,,AI/ML/Analytics,50,100,57,41,57,41,50,20,75,0,75,0
197,197,RightsFlow,2011,2007,50,50,Google,Media/Ad/Content,"RightsFlow offers mechanical licensing, royalty accounting, reporting and payment services for organizations, songwriters and individuals.","Accounting, Music, Legal",Music rights management,,Media/Ad/Content,50,100,47,45,47,45,50,20,75,0,75,0
198,198,Katango,2011,2010,10,50,Google,Media/Ad/Content,Katango develops social algorithms that improve peopleí_í‚_í_í‚_í_Œ‚í_Œ_s online social interaction and experiences.,Social Media,Social circle organization,,Media/Ad/Content,50,100,41,40,41,40,50,20,75,0,75,0
199,199,Apture,2011,2007,50,50,Google,Media/Ad/Content,Apture allows users to search and explore content without leaving their current webpage.,Advertising,Instantaneous search,,Media/Ad/Content,50,100,58,51,58,51,50,20,75,0,75,0
200,200,SocialGrapple,2011,2010,10,50,Google,AI/ML/Analytics,SocialGrapple operates as a social graph analytics service provider.,"Analytics, Social Media",Social media analytics service,,AI/ML/Analytics,50,100,44,41,44,41,50,20,75,0,75,0
201,201,DailyDeal,2011,2009,50,50,Google,AI/ML/Analytics,"DailyDeal offers deals on food, drinks, beauty treatments, travel, and more.","Beauty, Shopping",One deal a day service,114000000,AI/ML/Analytics,50,100,55,71,55,71,50,20,75,0,75,0
202,202,Zagat,2011,1979,250,250,Google,AI/ML/Analytics,"Zagat is a web and smartphone app that provides access to ratings and reviews for restaurants, nightspots and hotels worldwide.",Consumer Reviews,Restaurant reviews,151000000,AI/ML/Analytics,50,100,42,57,42,57,50,20,75,0,75,0
203,203,Zave Networks,2011,2006,10,50,Google,Software,"Zave Networks is a mobile app that enables consumers to access various digital discounts, offers and values from their neighborhood stores.","Apps, Mobile",Digital coupons,,Software,50,100,50,52,50,52,50,20,75,0,75,0
204,204,Motorola Mobility,2011,2010,5000,1000,Google,Software,"Motorola exists to invent, build and deliver the best mobile devices on the planet, improving the lives of millions of people.",Mobile Apps,Mobile device manufacturer,12500000000,Software,50,100,42,51,42,51,50,20,75,0,75,0
205,205,Dealmap,2011,2010,50,50,Google,AR/VR,"The Dealmap is an information source for people to find and share offers on national brands, websites and local businesses","Coupons, Local, Mobile, Search Engine, Social Media",One deal a day service,,Software,50,100,53,43,53,43,50,20,75,0,75,0
206,206,PittPatt,2011,2004,50,50,Google,AI/ML/Analytics,PittPatt (Pittsburgh Pattern Recognition) develops reliable face recognition software for images and video.,Face Recognition,Facial recognition system,,AI/ML/Analytics,50,100,51,51,51,51,50,20,75,0,75,0
207,207,Fridge,2011,2006,10,50,Google,AR/VR,"Fridge is a website enabling anyone to set up a lightweight, single-serving social network and organize their private online groups.",Photo Sharing,Social groups,,AR/VR,50,100,46,78,46,78,50,20,75,0,75,0
208,208,Punchd,2011,2010,10,50,Google,Software,Punchd is a mobile application facilitating mobile phone-enabled loyalty cards for businesses providing reward points for their customers.,"Android, iOS, Loyalty Programs, Mobile",Loyalty program,,Software,50,100,60,71,60,71,50,20,75,0,75,0
209,209,SageTV,2011,2002,25,50,Google,AI/ML/Analytics,SageTV provided digital media entertainment through the use of the internet.,"Digital Entertainment, Events, Media and Entertainment",Media center,,AI/ML/Analytics,50,100,49,50,49,50,50,20,75,0,75,0
210,210,Admeld,2011,2007,100,100,Google,AR/VR,Admeld is an advertising optimization platform providing online publishers with technology and expertise to sell their ad inventory.,"Advertising, Auctions, Software",Online advertising,400000000,Software,50,100,50,77,50,77,50,20,75,0,75,0
211,211,PostRank,2011,2007,10000,1000,Google,AI/ML/Analytics,PostRank is a real-time engagement monitoring and analytics platform for social web content.,"Analytics, Social Media, Test and Measurement",Social media analytics service,,AI/ML/Analytics,50,100,53,63,53,63,50,20,75,0,75,0
212,212,Sparkbuy,2011,2010,10000,1000,Google,Hardware,Sparkbuy is an online service that allows users to compare the prices and features of consumer electronics gadgets.,"Consumer Electronics, E-Commerce, Shopping",Product search,,Hardware,50,100,41,61,41,61,50,20,75,0,75,0
213,213,TalkBin,2011,2008,10000,1000,Google,Software,TalkBin offers a tool that allows customers to send feedback messages to local businesses.,Messaging,Mobile software,,Software,50,100,54,52,54,52,50,20,75,0,75,0
214,214,ITA Software,2011,1996,500,500,Google,Software,ITA Software is an airline IT and services provider helping travel companies reduce costs and improve customer service.,Information Technology,Travel technology,676000000,Software,50,100,46,45,46,45,50,20,75,0,75,0
215,215,PushLife,2011,2008,10000,1000,Google,Software,Pushlife is a mobile commerce platform for mobile operators.,"Digital Media, E-Commerce, Mobile",Service provider,25000000,Software,50,100,46,53,46,53,50,20,75,0,75,0
216,216,Green Parrot Pictures,2011,2004,10000,1000,Google,AR/VR,"GreenParrotPictures was founded in 2004 as a Digital Video Technology Company providing IP licensing, consulting and software development.","Digital Media, Enterprise Software, Video",Digital video,,Software,50,100,52,40,52,40,50,20,75,0,75,0
217,217,BeatThatQuote.com,2011,2006,25,50,Google,AI/ML/Analytics,Price comparison service,,Price comparison service,65000000,AI/ML/Analytics,50,100,51,64,51,64,50,20,75,0,75,0
218,218,Next New Networks,2011,2006,50,50,Google,Media/Ad/Content,"Next New Networks is a producer of online video networks and a media company allowing viewers to contribute, share and distribute content.","Video, Video Streaming",Online video,,Media/Ad/Content,50,100,49,44,49,44,50,20,75,0,75,0
219,219,Zynamics,2011,2004,10,50,Google,Security,Zynamics is a security analytics software company providing software analysis tools to help with malware analysis.,Security,Security,,Security,50,100,50,41,50,41,50,20,75,0,75,0
220,220,SayNow,2011,2005,50,50,Google,AR/VR,SayNow is a free service that lets fans and celebrities connect with one another via voice and text messaging.,"Messaging, Social Network",Voice recognition,,Media/Ad/Content,50,100,46,73,46,73,50,20,75,0,75,0
221,221,eBook Technologies,2011,1998,10,50,Google,Media/Ad/Content,eBook Technologies supplies a family of intelligent reading devices and technologies that enable automated publishing and control.,"Content, Ebooks",E-book,,Media/Ad/Content,50,100,45,73,45,73,50,20,75,0,75,0
222,222,Phonetic Arts,2010,2006,10000,1000,Google,AR/VR,Phonetic Arts supplies speech synthesis technologies to the games industry.,Software,Speech synthesis,,Software,50,100,57,70,57,70,50,20,75,0,75,0
223,223,Widevine Technologies,2010,1998,100,100,Google,AI/ML/Analytics,Widevine provides digital media solutions for the delivery of digital entertainment to any device.,"Digital Entertainment, Digital Media, Video",DRM,,AI/ML/Analytics,50,100,47,42,47,42,50,20,75,0,75,0
224,224,BlindType,2010,2005,10,50,Google,Software,"BlindType offers Fleksy, a virtual keyboard.",Mobile,Touch typing,,Software,50,100,47,65,47,65,50,20,75,0,75,0
225,225,Plannr,2010,2005,10,50,Google,Software,Plannr is an email and mobile-based organizer and event planner helping users coordinate their schedules and emails.,Mobile,Schedule management,,Software,50,100,51,78,51,78,50,20,75,0,75,0
226,226,Quiksee,2010,2004,50,50,Google,Software,Quiksee is an online tour technology platform that allows users to create location-based interactive visual media content.,Digital Media,Online video,10000000,Software,50,100,60,66,60,66,50,20,75,0,75,0
227,227,Angstro,2010,2007,10,50,Google,AR/VR,Angstro delivers critical business news about people and companies across professional networks.,"Enterprise Software, Facebook, Social Network",Social networking service,,Software,50,100,53,56,53,56,50,20,75,0,75,0
228,228,"SocialDeck, Inc.",2010,2008,10000,1000,Google,Software,SocialDeck is a PR and social marketing company.,"Mobile, Social Website",Social gaming,,Software,50,100,50,51,50,51,50,20,75,0,75,0
229,229,Like.com,2010,1986,10000,1000,Google,AI/ML/Analytics,Like.com is a visual search engine that allows users to find similar products on the web and compare their prices.,Image Recognition,Visual search engine,100000000,AI/ML/Analytics,50,100,44,78,44,78,50,20,75,0,75,0
230,230,Jambool,2010,2006,50,50,Google,Software,"Jambool operates SocialGold, an industry virtual monetization platform that enables developers to create and manage virtual currency.","Apps, Internet",Social Gold payment,70000000,Software,50,100,53,66,53,66,50,20,75,0,75,0
231,231,Slide.com,2010,2005,100,100,Google,AR/VR,"Slide enables users to create and personalize widgets and use them on social networks, blogs and desktops.","Developer Tools, Software",Social gaming,228000000,Software,50,100,40,45,40,45,50,20,75,0,75,0
232,232,Instantiations,2010,1998,50,50,Google,AR/VR,Instantiations uses the Smalltalk development language to develop commercial software products.,Software,Java/Eclipse/AJAX developer tools,,Software,50,100,52,45,52,45,50,20,75,0,75,0
233,233,Zetawire,2018,2007,25,50,Google,Software,Zetawire is a mobile payment company enabling consumers to make payments on their smartphones using NFC technology.,NFC,"Mobile payment, NFC",,Software,50,100,48,51,48,51,50,20,75,0,75,0
234,234,Metaweb,2010,2005,50,50,Google,Software,Metaweb Technologies develops a community-curated database and semantic data storage infrastructure for the web.,"Database, Infrastructure",Semantic search,,Software,50,100,55,44,55,44,50,20,75,0,75,0
235,235,Invite Media,2010,2007,10000,1000,Google,Media/Ad/Content,Invite Media is a stealth mode company developing media-buying optimization technology for the display advertising market.,Advertising,Advertising,81000000,Media/Ad/Content,50,100,55,47,55,47,50,20,75,0,75,0
