Id,AcquiredBy,Acquisition date,Company,Business,Country,Value (USD),Derived products,Categories,Founded,Size,Size(modified),Description,BroadCategory
16,Apple,2016,Flyby Media,Augmented reality,United States,N/A,ARkit,"Augmented Reality, Computer Vision, Internet, Location Based Services, Mobile, Social Media, Video",2010,50,50,Flyby Media develops next-generation consumer mobile social applications that connect the physical world with digital content.,
17,Apple,2016,LearnSprout,Education technology,United States,N/A,Classroom iPad App,"Analytics, Big Data, EdTech, Education, Predictive Analytics",2012,50,50,LearnSprout is the first and only solution that makes big data analytics possible for non-technical educators.,
18,Apple,2016,Emotient,Emotion recognition,United States,N/A,"Face ID, Animoji[100]","Artificial Intelligence, Machine Learning, Software, Video",2012,50,50,Emotient is a San Diego-based startup that uses artificial intelligence to identify how people feel.,
19,Apple,2018,Faceshift,Realtime Motion Capture,Switzerland,N/A,Animoji,"Broadcasting, Content Creators, Digital Media, Facial Recognition, Information Technology, Video Conferencing",2012,50,50,Faceshift is a motion capture platform that enables its users to design virtual avatars.,
20,Apple,2018,Mapsense,Mapping visualization and data collection,United States,"$30,000,000",Apple Maps,"Geospatial, Location Based Services, Web Hosting",2013,50,50,"Mapsense helps people explore location-based trends faster than ever before, so anyone can tame the growing tidal wave of geospatial data.",
21,Apple,2018,VocalIQ,Speech technology,United Kingdom,N/A,Siri,"Artificial Intelligence, Audio, Automotive, Machine Learning, Mobile, Wearables",2011,10,10,"VocalIQ has built a platform for voice interfaces, to voice enable everyones devices and apps.",
22,Apple,2018,Perceptio,"Machine learning, Image recognition",United States,N/A,"Face ID, Animoji, Photos","Artificial Intelligence, Digital Media, Machine Learning",2014,10,10,"Perceptio, a small startup focused on artificial intelligence.",
23,Apple,2018,Metaio,Augmented reality,Germany,N/A,ARkit,"Advertising, Augmented Reality, Mobile, Software",2003,100,100,Metaio is technology company that develops augmented reality software technology and solutions.,
24,Apple,2015,LinX,Camera,Israel,"$20,000,000",,"Mobile, Social Media",2013,10,10,Linx is social platform that enables users to create and share videos with their friends.,
25,Apple,2018,Coherent Navigation,GPS,United States,N/A,Apple Maps,"Apps, Software",2008,10,10,Coherent Navigation was a small firm that focused on creating commercial navigation services,
26,Apple,2015,FoundationDB,Database,United States,N/A,iMessage Backend,"Analytics, Database, Enterprise Software",2009,50,50,FoundationDB is a scalable NoSQL database with high performance multi-key ACID transactions that support multiple data models.,
27,Apple,2015,Semetric,Music analytics,United Kingdom,"$50,000,000","Apple Music, iTunes Store","Analytics, Content Discovery, Predictive Analytics",2008,,25,"Semetric powers data-driven business in entertainment by providing insight, analytics, discovery, recommendations, and targetting services.",
28,Apple,2018,Camel Audio,Audio plug-ins and sound libraries,United Kingdom,N/A,Logic Pro,"Audio, Music",2000,10,10,U.K. -based music technology company providing tools for music production.,
29,Apple,2014,Prss,Digital magazine,Netherlands,N/A,Apple News[82],"iOS, Publishing",2013,50,50,Prss is a digital magazine startup that makes it easy to create iPad-compatible magazines using tools that donâ€™t require any coding.,
30,Apple,2014,Beats Electronics,"Headphones, music streaming (Beats Music)",United States,"$3,000,000,000","iPhone, iTunes, Apple Music","Consumer Electronics, Hardware, Manufacturing, Media and Entertainment, Music, Software",2006,1000,1000,"Beats Electronics offers premium consumer headphones, earphones and speakers, software technology and streaming music subscription services.",
31,Apple,2014,Swell,Music streaming,United States,"$30,000,000",Apple Music,"Content Discovery, Machine Learning, Mobile, Personalization",2012,50,50,"Concept.io develops the application Swell Radio, which provides personalized audio, news and information based on users' interests.",
32,Apple,2014,BookLamp,Book analytics,United States,N/A,iBooks,"Content Discovery, Reading Apps, Software",2007,50,50,Booklamp provides users with reading suggestions based on a detailed analysis of the writing styles of their preferred authors.,
33,Apple,2014,Spotsetter,Social search engine,United States,N/A,Apple Maps,"Big Data, Social Media",2011,10,10,Spotsetter is a social search engine that makes personalized recommendations for places to visit and things to try.,
34,Apple,2014,LuxVue Technology,microLED displays,United States,N/A,â€”,"Consumer Electronics, Hardware, Software",2009,,25,"LuxVue Technology Corporation develops low-power, microLED-based displays for consumer electronics applications.",
35,Apple,2014,Burstly,Software testing,United States,N/A,"TestFlight, App Store","Advertising, Analytics, iOS, Mobile Advertising",2009,50,50,"Burstly develops tools that provide solutions for beta-testing, intuitive analytics and application monetization.",
36,Apple,2014,SnappyLabs,Photography software,United States,N/A,Camera,Photography,2011,10,10,Fastest smart-phone camera on earth.,
37,Apple,2013,BroadMap,Maps,United States,N/A,Apple Maps,"Geospatial, Software",2008,50,50,"BroadMap offers location based services, social intelligence & sentiment solutions, digital mapping solutions & market leading profile data.",
38,Apple,2013,Catch.com,Software,United States,N/A,Siri,"Android, iOS, Mobile",2008,50,50,Catch.com creates note-taking and mobile productivity apps for Android and iOS smartphones and tablets.,
39,Apple,2013,Topsy,Analytics,United States,"$200,000,000","App Store, Apple Music, iTunes Store[71]","Analytics, Internet, Real Time, Search Engine, Social Media",2007,100,100,"Topsy, a social analytics company, provides instant answers to critical business questions via real-time analysis of public conversations.",
40,Apple,2018,Acunu,Database analytics,United States,N/A,iCloud,"Analytics, Big Data, Software",2009,50,50,Acunu is a low-latency analytics platform for monitoring and controlling high-velocity data used in production environments.,
41,Apple,2013,PrimeSense,Structured-light 3D scanners,Israel,"$345,000,000","Face ID, TrueDepth[68][69]","3D Technology, Consumer Electronics, Hardware",2005,100,100,"PrimeSense offers an interactive device that can see, track and react to user movements outside the computer.",
42,Apple,2013,Cue,Personal assistant,United States,"$50,000,000",Siri,"Internet, Mobile Apps",2010,50,50,Cue is a web and mobile app that pulls information from the usersâ€™ online accounts to present an overview of their day.,
43,Apple,2013,AlgoTrim,Mobile data compression[64],Sweden,N/A,iOS,Mobile,2005,50,50,"AlgoTrimâ„¢ develops advanced solutions for mobile devices within the fields of data compression, mobile imaging and video, and computer",
44,Apple,2013,Embark,Maps,United States,N/A,Apple Maps,"Mobile, Mobile Apps, Public Transportation",2011,10,10,Embark creates mobile apps for mass-transit riders worldwide that gives users information about routes and stops in different cities.,
45,Apple,2013,Matcha,Media discovery app,United States,N/A,TV App for Apple TV and iOS,"Content, Online Portals, Video",2011,10,10,"Matcha is a second-screen video search and recommendation service for movies, TV shows and other video content.",
46,Apple,2013,Passif Semiconductor,Semiconductors,United States,N/A,Apple SOC,"Manufacturing, Semiconductor, Wireless",2007,,25,Passif Semiconductor Corp manufactures semiconductors. The company manufactures switch-based wireless transceivers with low power,
47,Apple,2013,Locationary,Maps,Canada,N/A,Apple Maps,"Analytics, Crowdsourcing, Location Based Services",2009,50,50,"Locationary offers Saturn, a management and exchange platform for local business data.",
48,Apple,2013,HopStop.com,Maps,United States,N/A,Apple Maps,"Android, iOS, Navigation",2005,50,50,HopStop.com is a web platform offering door-to-door online transit-navigation services.,
49,Apple,2013,WiFiSlam,Indoor location,United States,"$20,000,000",Apple Maps,"Location Based Services, Mobile, Wireless",2011,50,50,WiFiSlam develops indoor location-based technologies that use Wi-Fi signals to detect a mobile phone user's location via a smartphone app.,
50,Apple,2012,Particle,HTML5 Web app firm,United States,N/A,"iCloud, iAd","Developer Platform, Mobile, Web Development",2008,50,50,Particle develops innovative products for web and mobile in order to enhance new media technologies.,
51,Apple,2012,AuthenTec,PC and mobile security products,United States,"$356,000,000",Touch ID,"Biometrics, Cyber Security, Identity Management, NFC, Security, Semiconductor, Sensor",1998,250,250,"AuthenTec is a tech security company providing computer and mobile safety, identity management, biometrics, and touch control solutions.",
52,Apple,2012,Redmatica,Audio,Italy,N/A,"Logic Pro, GarageBand",not provided,2003,,25,A small startup that specializes in digital music-editing apps.,
53,Apple,2012,Chomp,App search engine,United States,"$50,000,000",App Store,Mobile,2009,50,50,Chomp is an application search platform providing information on the functionalities of various applications.,
54,Apple,2011,Anobit,Flash memory,Israel,"$390,000,000","iPod, iPhone, iPad","Electronics, Flash Storage, Semiconductor",2006,100,100,Anobit Technologies develops semiconductors for storage solutions used in Flash memory devices.,
55,Apple,2011,C3 Technologies,3D mapping,Sweden,"$267,000,000",Maps,"Assistive Technology, Enterprise Software, Information Technology",2007,50,50,C3 Technologies provides detailed 3D city models for the web mapping industry.,
56,Apple,2010,Polar Rose,Facial recognition,Sweden,"$29,000,000",iOS,"Browser Extensions, Image Recognition, Photography",2004,50,50,"Polar Rose, a superior computer vision tech-based platform, helps users sort, search and share digital photos based on the content.",
57,Apple,2010,IMSense,High-dynamic-range (HDR) photography,United Kingdom,N/A,iOS,"Image Recognition, Photography, Software",2007,10,10,imsense provides dynamic range optimization solutions for images and videos that facilitate in mobile and computer platforms.,
58,Apple,2010,Poly9,Web-based mapping,Canada,N/A,Apple Maps,"Geospatial, Software",2005,10,10,Poly9 offers web mapping platforms that enable users to solve location-critical problems.,
59,Apple,2010,Gipsy Moth Studios,Application localization,United States,"$12,000,000","iPod, iPhone, iPad",Could not find info,,,25,,
60,Apple,2010,Intrinsity,Semiconductors,United States,"$121,000,000",Apple SOC,"Manufacturing, Mobile, Semiconductor",1997,10000,10000,"Intrinsity provides the tools, technologies, and expertise to efficiently produce higher speed circuits for mobile phone processors.",
61,Apple,2010,Siri,Voice control software,United States,N/A,Siri,"Consumer Electronics, iOS, Software, Virtualization",2007,50,50,"Siri is the developer of Siri, a virtual personal assistant incorporated as a feature of Apple iPhones beginning with the 4S generation.",
62,Apple,2010,Quattro Wireless,Mobile advertising,United States,"$275,000,000",iAd,"Ad Network, Advertising, Advertising Platforms, Mobile, Publishing",2006,100,100,"Quattro Wireless, a global mobile advertising company, enables advertisers and publishers to reach and engage their target audiences.",
63,Apple,2009,Lala.com,Music streaming,United States,"$17,000,000","iCloud, iTunes Match","Internet, Music, Music Streaming",2005,,25,"Lala, an online music discovery platform, allows users to create shareable playlists and stream, upload and purchase music tracks.",
64,Apple,2009,Placebase,Maps,United States,N/A,Apple Maps,"Database, Developer APIs, Developer Tools",2005,50,50,Placebase is an online mapping service offering customizations and features which integrate private and public data sets in diverse ways.,
65,Apple,2008,P.A. Semi,Semiconductors,United States,"$278,000,000",Apple SOC,"Electronics, Manufacturing, Semiconductor",2003,,25,"PA Semi develops high-end, low-power microprocessors for embedded computing.",
66,Apple,2006,Proximity,Software,Australia,N/A,Final Cut Server,not provided,,,25,Proximity is a company that was acquired by Apple in 2006.,
67,Apple,2006,Silicon Color,Software,United States,N/A,Color (Final Cut Studio),"Film, Software, Video",2005,,25,Silicon Color offers color finishing software that individuals can use for film coloring at a professional level.,
68,Apple,2018,FingerWorks,Gesture recognition company,United States,N/A,iOS,"Hardware, Human Computer Interaction, Software",1998,,25,Fingerworks is a Hardware company.,
69,Apple,2018,Schemasoft,Software,Canada,N/A,iWork,Software,1987,,25,SchemaSoft has been providing software development services and licensed components to the professional software community since 1987,
70,Apple,2002,Emagic,Music production software,Germany,"$30,000,000","Logic Pro, GarageBand",Software,1992,,25,"EMagic is a developer of software for computer-based professional music
production",
71,Apple,2002,Prismo Graphics[note 6],Special-effects titling software for film and video,United States,"$20,000,000",LiveType (Final Cut Studio),not provided,1987,,25,Prismo Graphics is a developer of motion graphics for broadcast and digital video projects,
72,Apple,2002,Propel Software,internet and network optimization for wireless carriers,United States,N/A,Safari,"Computer, Internet, Software",1999,50,50,Propel makes the Internet better.,
73,Apple,2002,Silicon Grail Corp-Chalice[note 5][note 6],Digital effects software,United States,"$20,000,000",Motion,could not find,,,25,,
74,Apple,2002,Zayante,FireWire chips and software,United States,"$13,000,000",FireWire,Software,1996,,25,"Zayante is a developer of low-level FireWire technologies, including controlling software and silicon solutions.",
75,Apple,2002,Nothing Real,Special effects software,United States,"$15,000,000",Shake,Software,1996,,25,Nothing Real is a Software company.,
76,Apple,2001,PowerSchool,Online info systems services,United States,"$66,100,000",PowerSchool,PowerSchool is the leading K12 education technology provider of solutions that improve the education experience for 100 million users,1997,5000,5000,"EdTech, Education, Software",
77,Apple,2001,Spruce Technologies[note 3],Graphics software,United States,"$14,900,000",DVD Studio Pro,Information Technology,1996,,25,"Spruce Technologies a privately held company, is a provider of DVD and WebDVD authoring software.",
78,Apple,2001,bluebuzz,Internet service provider (ISP),United States,N/A,â€”,could not find,,,25,,
79,Apple,2000,SoundJam MP[note 2],Software,United States,N/A,iTunes,could not find,,,25,,
80,Apple,2000,Astarte-DVD Authoring Software[note 1],Software,Germany,N/A,DVD Studio Pro,could not find,,,25,,
81,Apple,2000,NetSelector,Internet software,United States,N/A,â€”,not provided,1999,,25,NetSelector is a company that was acquired by Apple in 2000,
82,Apple,1999,Raycer Graphics,Computer graphic chips,United States,"$15,000,000",â€”,"3D Technology, Graphic Design, Information Technology",1996,50,50,"Raycer Graphics develops high performance 3D graphics for the Windows market boards, chips, and related software drivers.",
83,Apple,1999,Xemplar Education,Software,United Kingdom,"$4,926,000",â€”,not provided,1996,,25,Xemplar Education is a company that was acquired by Apple in 1999.,
84,Apple,1997,Power Computing Corporation,Macintosh clones,United States,"$110,000,000",â€”,not provided,1993,300,300,"The rumors have come true. Apple Computer (AAPL) has purchased major operations of Power Computing, the largest Mac clone maker",
85,Apple,1997,NeXT,Unix-like hardware and software platform,United States,"$404,000,000","Mac OS X, iOS, macOS, tvOS, watchOS","Education, Hardware, Software",1985,10000,10000,NeXT is a computer company offering a series of computer workstations intended for the higher education and business markets.,
86,Apple,2014,Dryft,On-Screen Keyboard,United States,N/A,iOS Keyboard,"Hardware, Software",2013,50,50,Dryft's dynamic personalized keyboard makes typing fast and natural on tablets.,
87,Apple,2013,Novauris Technologies,Speech recognition,United Kingdom,N/A,Siri,"Information Services, Mobile, VoIP",2002,50,50,"Novauris was founded by the founders of Dragon Systems, and is developing voice recognition for mobile devices.",
88,Apple,2013,OttoCat,Search engine,United States,N/A,App Store,"Apps, Internet, Mobile",2012,10,10,"We organize the App Store into lots of categories, and make finding good apps easier.",
89,Apple,2001,Bluefish Labs,Productivity software,United States,N/A,iWork,"Database, Mobile Apps, Web Apps",1997,,25,Leading challenging engineering projects and producing successful software products.,
90,Google,2018,Tenor,GIF image search,USA,N/A,Google Images,"Messaging, Social Media, Video",2014,100,100,,
91,Google,2017,60db,Podcasts,USA,N/A,Google Play Music,"Audio, Media and Entertainment, Social Media, Video Streaming",2016,50,50,,
92,Google,2017,Relay Media,AMP converter,USA,N/A,Accelerated Mobile Pages,Analytics,2015,10,10,,
93,Google,2017,Bitium,Single sign-on and identity management,USA,N/A,Google Cloud Platform,"Cloud Computing, Cyber Security, Identity Management, SaaS, Security, Software",2012,50,50,,
94,Google,2017,HTC (portions),Talent and intellectual property licenses,TWN,"$1,100,000,000",Google Pixel,"Consumer Electronics, Manufacturing, Mobile",,,25,,
95,Google,2017,AIMatter,Computer vision,BLR,N/A,YouTube,"Artificial Intelligence, Computer Vision, Software",,,25,,
96,Google,2017,Halli Labs,Artificial intelligence,IND,N/A,,"Artificial Intelligence, Machine Learning, Software Engineering",2017,,25,"Halli Labs is an Indian deep learning and machine learning systems development company..
",
97,Google,2017,Owlchemy Labs,Virtual reality studio,USA,N/A,Google VR,"Gaming, Software Engineering, Virtual Reality",2010,50,50,Owlchemy Labs is a creative game studio with a passion for polished and unique games and VR experiences.,
98,Google,2017,AppBridge,Productivity suite,USA,N/A,Google Docs,"Apps, Data Storage, Google",2015,50,50,AppBridge is a application developer and facilitating the transformation of work,
99,Google,2017,Kaggle,Data science,USA,N/A,Google Cloud Platform,"Analytics, Big Data, Data Mining, News, Predictive Analytics",2010,50,50,Kaggle is a platform for predictive modeling and analytics competitions and consulting.,
100,Google,2017,Fabric,Crash analytics,USA,N/A,Firebase,"Cloud Infrastructure, Developer APIs, Developer Tools, Enterprise Software, Mobile Apps, Real Time",2011,50,50,"Firebase is Google's mobile platform. Build and grow your iOS, Android, or Web app with Firebase.",
101,Google,2017,Limes Audio,Voice communication,SWE,N/A,"Google Duo, Google Hangouts","Audio, Communication Hardware, Telecommunications",2007,50,50,Limes Audio develops technology that make two-way voice communication systems sound better.,
102,Google,2016,Cronologics,Smartwatches,USA,N/A,Android Wear,"Hardware, Software, Wearables",2014,50,50,Cronologics Corporation is a software platform for high quality smart watches by Android and Google veterans.,
103,Google,2016,Qwiklabs,Cloud based hands-on training platform,â€”,N/A,Google Cloud Platform,"Cloud Computing, Information Technology, Software",2012,50,50,Qwiklabs provides lab learning environments that help devs and IT pros get hands-on experience with leading cloud platforms and software.,
104,Google,2016,LeapDroid,Android Emulator,USA,N/A,Android,Software,2015,50,50,LeapDroid developers have just announced that theyâ€™ll be joining Google in the near future and are stopping both development and support.,
105,Google,2016,Eyefluence,"Eye tracking, virtual reality",â€”,N/A,Google VR,"Consumer Electronics, Manufacturing, Wearables",2013,50,50,"Eyefluence is the first eye-interaction technology for AR, VR, and MR devices which transforms intent into action through the eyes.",
106,Google,2016,FameBit,Branded content,â€”,N/A,YouTube,"Internet, Music, Video",2005,5000,5000,"YouTube, a video-sharing platform, allows users to upload, view, and share videos, including movie and music clips and amateur content.",
107,Google,2016,API.AI,Natural language processing,USA,N/A,Google Assistant,,,,25,,
108,Google,2016,Urban Engines,Location-based analytics,USA,N/A,Google Maps,"Analytics, Big Data, GovTech, Mobile, Software, Transportation",2014,50,50,"Urban Engines combines big data and spatial analytics to improve urban mobility.
",
109,Google,2016,Apigee,API management and predictive analytics,USA,"$625,000,000",Google Cloud Platform,"Cloud Data Services, Enterprise Software, Information Technology",2004,100,100,"Apigee is a digital business platform providing enterprise tools to help companies build and scale apps, APIs and data.
",
110,Google,2016,Orbitera,Cloud software,USA,"$100,000,000",Google Cloud Platform,"Analytics, Cloud Computing, E-Commerce, Marketing Automation, SaaS, Software",2011,50,50,Orbitera is a Cloud Commerce company that simplifies and automates the buying and selling of products in the cloud.,
111,Google,2016,LaunchKit,Mobile tool maker,USA,N/A,Android,"Developer Tools, Mobile Apps",2015,10,10,"Simple, useful tools for mobile makers.",
112,Google,2016,Kifi,Link management,USA,N/A,Spaces (app),"Analytics, Artificial Intelligence, Big Data, Content Discovery, Knowledge Management",2012,10,10,Connecting people with knowledge,
113,Google,2016,Anvato,Cloud-based video services,USA,N/A,Google Cloud Platform,"Software, Video Conferencing, Video Streaming",2007,50,50,Anvato is a video software platform that creates multiple adaptive bitrate streams for uninterrupted playback on any device or website.,
114,Google,2016,Moodstocks,Image recognition,FRA,N/A,Google Photos,"Artificial Intelligence, Hardware, Image Recognition,Machine Learning, Mobile, QR Codes, Real Time, Visual Search",2008,10,10,Moodstocks provides an API and ready-to-use cross-platform SDK for developers to integrate scanning.,
115,Google,2016,Webpass,Internet service provider,USA,N/A,Google Fiber,"Internet, ISP, Wireless",2003,250,250,Webpass is a San Francisco based Internet Service Provider.,
116,Google,2016,Synergyse,Interactive tutorials,CAN,N/A,Google Docs,"Apps, Search Engine, Software, Training",2013,10,10,Interactive training for Google Apps,
117,Google,2016,Pie,Enterprise communications,SGP,N/A,Spaces (app),"Automotive, Incubators",2009,10,10,"PIE provides startups with coworking spaces, community hub, and accelerator services.",
118,Google,2016,BandPage,Platform for musicians,USA,N/A,YouTube,"Consumer, Facebook, Marketplace, Music",2009,50,50,BandPage is the distributed marketplace that musicians use to engage and sell to fans across the largest music services in the world,
119,Google,2015,Fly Labs,Video editing,USA,N/A,Google Photos,iOS,2012,10,10,Fly Labs â€“ Making video creativity mainstream,
120,Google,2015,bebop,Cloud software,USA,"$380,000,000",Google Cloud Platform,"Business Development, Enterprise, Enterprise Software",2012,50,50,Bebop is a new development platform that makes it easy to build and maintain enterprise applications.,
121,Google,2015,Digisfera,360-degree photography,POR,N/A,Street View,Images,2011,10,10,"Digisfera, a startup focused on panoramic images.",
122,Google,2015,Jibe Mobile,Rich Communication Services,USA,N/A,Android,"File Sharing, Messaging, Mobile, Social Media",2006,50,50,"Jibe Mobile, the Cloud Communications Company for Mobile Operators, provides an open end-to-end technology platform for IP Communications
",
123,Google,2015,Oyster,E-book subscriptions,USA,N/A,Google Play Books,"Email, Web Design, Web Hosting",2010,50,50,Post-delivery tracking of direct mail,
124,Google,2015,Pixate,Mobile software prototyping,USA,N/A,Android,"Computer, Enterprise Software, Mobile",2012,50,50,"Pixate is a new platform for mobile interaction design. With it, you can create sophisticated interactive native prototypes without code.",
125,Google,2015,Agawi,Mobile application streaming,USA,N/A,"Android, Google Play","EdTech, Gaming, Mobile Apps, Mobile Devices",2010,50,50,"Agawi is the world's 1st cloud-based app streaming platform for mobile, tablets and Smart TVs.",
126,Google,2015,Pulse.io,Mobile app optimizer,USA,N/A,Android,"Apps, Mobile",2011,10,10,Pulse.io provides a mobile app performance service that helps developers identify issues slowing down their production apps.,
127,Google,2015,Timeful,Mobile software,USA,N/A,"Google Inbox, Google Calendar","Analytics, Artificial Intelligence, Database,Machine Learning, Task Management",2015,50,50,Timeful is a technology company dedicated to reinventing the way that people manage their most precious resource: time.,
128,Google,2015,Thrive Audio,Surround sound technology,IRL,N/A,Google Cardboard,"Audio, 3d",2012,1000,1000,Thrive Audio a young tech startup company made up live and breathe 3D virtual audio environments.,
129,Google,2015,Skillman & Hackett,Virtual reality software,USA,N/A,Tilt Brush,"Software, Virtual reality",2014,10,10,"Skillman & Hackett is a San Francisco design studio focused on Rapid Prototyping, Virtual Reality.",
130,Google,2015,Red Hot Labs,App advertising and discovery,USA,N/A,Google Play,"Advertising Platforms, Apps, Mobile, Software",2012,10,10,Toro is an industry leader in running high performance Facebook campaigns for mobile apps.,
131,Google,2015,Softcard,Mobile payments,USA,N/A,Android Pay,"Apps, Mobile Payments",2011,500,500,"Softcard, a mobile payments platform, enables users to make payments, redeem offers, and store loyalty, membership, and reward cards.",
132,Google,2015,Odysee,Multimedia sharing and storage,USA,N/A,Google+,"Enterprise Software, Mobile Apps, Photo Sharing",2011,10,10,"Odysee is Nimbuz Inc's second product. Odysee is a sharable, cross platform camera roll, built over distributed storage.",
133,Google,2015,Launchpad Toys,Child-friendly apps,USA,N/A,YouTube for Kids,"Apps, Education, iOS",2010,10,10,"Launchpad Toys develops digital toys and tools that empower kids to create, learn and share their ideas through play.",
134,Google,2014,Vidmaker,Video editing,USA,N/A,YouTube,"Collaboration, Social Media, Video",2011,10,10,Vidmaker is a collaborative online video editor that makes it easy to work with video anywhere and with anyone.,
135,Google,2014,RelativeWave,Mobile software prototyping,USA,N/A,Android,"Apps, Developer Tools",2012,10,10,RelativeWave is a research and development shop located in San Francisco that focuses on app development and design tools.,
136,Google,2014,Revolv,Home automation,USA,N/A,Nest Labs,"Internet of Things, Smart Home, Software",2016,50,50,Revolv is a monitoring and control system that allows users to control their connected devices from a single hub.,
137,Google,2014,Dark Blue Labs & Vision Factory,Artificial intelligence,UK,N/A,Google DeepMind,"Artificial Intelligence, Data Visualization, Machine Learning",2014,10,10,"Learning deep representations of data to make intelligent products, including natural language understanding, a reality.",
138,Google,2014,Firebase,Data synchronization,USA,N/A,Google Cloud Platform,"Cloud Infrastructure, Developer APIs, Developer Tools, Enterprise Software, Mobile Apps, Real Time",2011,250,250,"Firebase is Google's mobile platform. Build and grow your iOS, Android, or Web app with Firebase.",
139,Google,2014,Polar,Social polling,USA,N/A,Google+,"Fitness, Health Care, Wearables",1977,,25,Polar offers heart rate-based training solutions as well as GPS-enabled cycling computers and sports watches for endurance training.,
140,Google,2014,Lift Labs,Liftware,USA,N/A,Verily,"Hardware, Health Care, Medical, Software",2010,10,10,"Aim of enabling people, communities, companies and society to thrive",
141,Google,2014,Zync Render,Cloud-based visual effects software,USA,N/A,Google Cloud Platform,"Digital Media, Flash Storage, Social Media",2010,10,10,ZYNC Render is a cloud-based visual effects storage and rendering platform.,
142,Google,2014,Gecko Design,Mechanical design,USA,N/A,X,Product Design,1996,10,10,Gecko Design Inc. is a product design firm that converges the language of design and manufacturing.,
143,Google,2014,Jetpac,"Artificial intelligence, image recognition",USA,N/A,Picasa,"AI, ML",2011,10,10,Jetpac is a photo app that enables users to collect photos shared by Facebook friends of places they want to visit.,
144,Google,2014,Emu,IM client,USA,N/A,"Google Hangouts, Google Now",E-commerce,2012,10,10,emu.me is a money messaging platform that enables its users to send and request for money via email.,
145,Google,2014,Director,Mobile video,USA,N/A,"YouTube, Android","Energy, Solar",1984,100,100,Director is a company that focuses on keeping consumers up to date on solar news.,
146,Google,2014,drawElements,Graphics compatibility testing,FIN,N/A,Android,Enterprise Software,2008,10,10,drawElements provides its clients with computer graphics solutions.,
147,Google,2014,Songza,Music streaming,USA,N/A,"Google Play, Android TV",Music,2007,50,50,Songza is a music streaming and recommendation service offering curated playlists based on the time of day or a user's mood or activity.,
