Column2,Column1,Id,AcquiredBy,Acquisition date,Company,Business,Country,Value (USD),Derived products,Categories,Founded,Founded(modified),Size,Size(modified),Description,Broad Category
55,55,55,Apple,2011,C3 Technologies,3D mapping,Sweden,"$267,000,000 ",Maps,"Assistive Technology, Enterprise Software, Information Technology",2007,2007,50,50,C3 Technologies provides detailed 3D city models for the web mapping industry.,AR/VR
56,56,56,Apple,2010,Polar Rose,Facial recognition,Sweden,"$29,000,000 ",iOS,"Internet, Browser Extensions, Image Recognition, Photography",2004,2004,50,50,"Polar Rose, a superior computer vision tech-based platform, helps users sort, search and share digital photos based on the content.",Software
57,57,57,Apple,2010,IMSense,High-dynamic-range (HDR) photography,United Kingdom,,iOS,"Image Recognition, Photography, Software",2007,2007,10,10,imsense provides dynamic range optimization solutions for images and videos that facilitate in mobile and computer platforms.,AR/VR
58,58,58,Apple,2010,Poly9,Web-based mapping,Canada,,Apple Maps,"Geospatial, Software",2005,2005,10,10,Poly9 offers web mapping platforms that enable users to solve location-critical problems.,AR/VR
59,59,59,Apple,2010,Gipsy Moth Studios,Application localization,United States,"$12,000,000 ","iPod, iPhone, iPad",Could not find info,,2005,,25,,Uncategorised
60,60,60,Apple,2010,Intrinsity,Semiconductors,United States,"$121,000,000 ",Apple SOC,"Manufacturing, Mobile, Semiconductor",1997,1997,10000,10000,"Intrinsity provides the tools, technologies, and expertise to efficiently produce higher speed circuits for mobile phone processors.",Software
61,61,61,Apple,2010,Siri,Voice control software,United States,,Siri,"Consumer Electronics, iOS, Software, Virtualization",2007,2007,50,50,"Siri is the developer of Siri, a virtual personal assistant incorporated as a feature of Apple iPhones beginning with the 4S generation.",AR/VR
62,62,62,Apple,2010,Quattro Wireless,Mobile advertising,United States,"$275,000,000 ",iAd,"Ad Network, Advertising, Advertising Platforms, Mobile, Publishing",2006,2006,100,100,"Quattro Wireless, a global mobile advertising company, enables advertisers and publishers to reach and engage their target audiences.",Software
63,63,63,Apple,2009,Lala.com,Music streaming,United States,"$17,000,000 ","iCloud, iTunes Match","Internet, Music, Music Streaming",2005,2005,,25,"Lala, an online music discovery platform, allows users to create shareable playlists and stream, upload and purchase music tracks.",Software
64,64,64,Apple,2009,Placebase,Maps,United States,,Apple Maps,"Database, Developer APIs, Developer Tools",2005,2005,50,50,Placebase is an online mapping service offering customizations and features which integrate private and public data sets in diverse ways.,Hardware
65,65,65,Apple,2008,P.A. Semi,Semiconductors,United States,"$278,000,000 ",Apple SOC,"Electronics, Manufacturing, Semiconductor",2003,2003,,25,"PA Semi develops high-end, low-power microprocessors for embedded computing.",Hardware
66,66,66,Apple,2006,Proximity,Software,Australia,,Final Cut Server,not provided,,2001,,25,Proximity is a company that was acquired by Apple in 2006.,Uncategorised
67,67,67,Apple,2006,Silicon Color,Software,United States,,Color (Final Cut Studio),"Film, Software, Video",2005,2005,,25,Silicon Color offers color finishing software that individuals can use for film coloring at a professional level.,AR/VR
68,68,68,Apple,2018,FingerWorks,Gesture recognition company,United States,,iOS,"Hardware, Human Computer Interaction, Software",1998,1998,,25,Fingerworks is a Hardware company.,AR/VR
69,69,69,Apple,2018,Schemasoft,Software,Canada,,iWork,Software,1987,1987,,25,SchemaSoft has been providing software development services and licensed components to the professional software community since 1987,AR/VR
70,70,70,Apple,2002,Emagic,Music production software,Germany,"$30,000,000 ","Logic Pro, GarageBand",Software,1992,1992,,25,EMagic is a developer of software for computer-based professional music,AR/VR
71,production,,AR/VR,,,,,,,,,,,,,Uncategorised
72,71,71,Apple,2002,Prismo Graphics[note 6],Special-effects titling software for film and video,United States,"$20,000,000 ",LiveType (Final Cut Studio),not provided,1987,1987,,25,Prismo Graphics is a developer of motion graphics for broadcast and digital video projects,Uncategorised
73,72,72,Apple,2002,Propel Software,internet and network optimization for wireless carriers,United States,,Safari,"Computer, Internet, Software",1999,1999,50,50,Propel makes the Internet better.,AR/VR
74,73,73,Apple,2002,Silicon Grail Corp-Chalice[note 5][note 6],Digital effects software,United States,"$20,000,000 ",Motion,could not find,,1997,,25,,Uncategorised
75,74,74,Apple,2002,Zayante,FireWire chips and software,United States,"$13,000,000 ",FireWire,Software,1996,1996,,25,"Zayante is a developer of low-level FireWire technologies, including controlling software and silicon solutions.",AR/VR
76,75,75,Apple,2002,Nothing Real,Special effects software,United States,"$15,000,000 ",Shake,Software,1996,1996,,25,Nothing Real is a Software company.,AR/VR
77,76,76,Apple,2001,PowerSchool,Online info systems services,United States,"$66,100,000 ",PowerSchool,PowerSchool is the leading K12 education technology provider of solutions that improve the education experience for 100 million users,1997,1997,5000,5000,"EdTech, Education, Software",Media/Ad/Content
78,77,77,Apple,2001,Spruce Technologies[note 3],Graphics software,United States,"$14,900,000 ",DVD Studio Pro,Information Technology,1996,1996,,25,"Spruce Technologies a privately held company, is a provider of DVD and WebDVD authoring software.",Software
79,78,78,Apple,2001,bluebuzz,Internet service provider (ISP),United States,,ÃŒ_ÃŒ_ÃŒÂ¨,could not find,,1996,,25,,Uncategorised
80,79,79,Apple,2000,SoundJam MP[note 2],Software,United States,,iTunes,could not find,,1995,,25,,Uncategorised
81,80,80,Apple,2000,Astarte-DVD Authoring Software[note 1],Software,Germany,,DVD Studio Pro,could not find,,1995,,25,,Uncategorised
82,81,81,Apple,2000,NetSelector,Internet software,United States,,ÃŒ_ÃŒ_ÃŒÂ¨,not provided,1999,1999,,25,NetSelector is a company that was acquired by Apple in 2000,Uncategorised
83,82,82,Apple,1999,Raycer Graphics,Computer graphic chips,United States,"$15,000,000 ",ÃŒ_ÃŒ_ÃŒÂ¨,"3D Technology, Graphic Design, Information Technology",1996,1996,50,50,"Raycer Graphics develops high performance 3D graphics for the Windows market boards, chips, and related software drivers.",Software
84,83,83,Apple,1999,Xemplar Education,Software,United Kingdom,"$4,926,000 ",ÃŒ_ÃŒ_ÃŒÂ¨,not provided,1996,1996,,25,Xemplar Education is a company that was acquired by Apple in 1999.,Uncategorised
85,84,84,Apple,1997,Power Computing Corporation,Macintosh clones,United States,"$110,000,000 ",ÃŒ_ÃŒ_ÃŒÂ¨,not provided,1993,1993,300,300,"The rumors have come true. Apple Computer (AAPL) has purchased major operations of Power Computing, the largest Mac clone maker",Uncategorised
86,85,85,Apple,1997,NeXT,Unix-like hardware and software platform,United States,"$404,000,000 ","Mac OS X, iOS, macOS, tvOS, watchOS","Education, Hardware, Software",1985,1985,10000,10000,NeXT is a computer company offering a series of computer workstations intended for the higher education and business markets.,AR/VR
87,86,86,Apple,2014,Dryft,On-Screen Keyboard,United States,,iOS Keyboard,"Hardware, Software",2013,2013,50,50,Dryft's dynamic personalized keyboard makes typing fast and natural on tablets.,AR/VR
88,87,87,Apple,2013,Novauris Technologies,Speech recognition,United Kingdom,,Siri,"Information Services, Mobile, VoIP",2002,2002,50,50,"Novauris was founded by the founders of Dragon Systems, and is developing voice recognition for mobile devices.",Software
89,88,88,Apple,2013,OttoCat,Search engine,United States,,App Store,"Apps, Internet, Mobile",2012,2012,10,10,"We organize the App Store into lots of categories, and make finding good apps easier.",Software
90,89,89,Apple,2001,Bluefish Labs,Productivity software,United States,,iWork,"Database, Mobile Apps, Web Apps",1997,1997,,25,Leading challenging engineering projects and producing successful software products.,Software
91,90,90,Google,2018,Tenor,GIF image search,USA,,Google Images,"Messaging, Social Media, Video",2014,2014,100,100,,Media/Ad/Content
92,91,91,Google,2017,60db,Podcasts,USA,,Google Play Music,"Audio, Media and Entertainment, Social Media, Video Streaming",2016,2016,50,50,,AI/ML/Analytics
93,92,92,Google,2017,Relay Media,AMP converter,USA,,Accelerated Mobile Pages,Analytics,2015,2015,10,10,,AI/ML/Analytics
94,93,93,Google,2017,Bitium,Single sign-on and identity management,USA,,Google Cloud Platform,"Cloud Computing, Cyber Security, Identity Management, SaaS, Security, Software",2012,2012,50,50,,AR/VR
95,94,94,Google,2017,HTC (portions),Talent and intellectual property licenses,TWN,"$1,100,000,000 ",Google Pixel,"Consumer Electronics, Manufacturing, Mobile",,2012,,25,,Software
96,95,95,Google,2017,AIMatter,Computer vision,BLR,,YouTube,"Artificial Intelligence, Computer Vision, Software",,2012,,25,,AI/ML/Analytics
97,96,96,Google,2017,Halli Labs,Artificial intelligence,IND,,,"Artificial Intelligence, Machine Learning, Software Engineering",2017,2017,,25,Halli Labs is an Indian deep learning and machine learning systems development company..,AI/ML/Analytics
98,,,AI/ML/Analytics,,,,,,,,,,,,,Uncategorised
99,97,97,Google,2017,Owlchemy Labs,Virtual reality studio,USA,,Google VR,"Gaming, Software Engineering, Virtual Reality",2010,2010,50,50,Owlchemy Labs is a creative game studio with a passion for polished and unique games and VR experiences.,AR/VR
100,98,98,Google,2017,AppBridge,Productivity suite,USA,,Google Docs,"Apps, Data Storage, Google",2015,2015,50,50,AppBridge is a application developer and facilitating the transformation of work,Software
101,99,99,Google,2017,Kaggle,Data science,USA,,Google Cloud Platform,"Analytics, Big Data, Data Mining, News, Predictive Analytics",2010,2010,50,50,Kaggle is a platform for predictive modeling and analytics competitions and consulting.,AI/ML/Analytics
102,100,100,Google,2017,Fabric,Crash analytics,USA,,Firebase,"Cloud Infrastructure, Developer APIs, Developer Tools, Enterprise Software, Mobile Apps, Real Time",2011,2011,50,50,"Firebase is Google's mobile platform. Build and grow your iOS, Android, or Web app with Firebase.",AR/VR
103,101,101,Google,2017,Limes Audio,Voice communication,SWE,,"Google Duo, Google Hangouts","Audio, Communication Hardware, Telecommunications",2007,2007,50,50,Limes Audio develops technology that make two-way voice communication systems sound better.,AR/VR
104,102,102,Google,2016,Cronologics,Smartwatches,USA,,Android Wear,"Hardware, Software, Wearables",2014,2014,50,50,Cronologics Corporation is a software platform for high quality smart watches by Android and Google veterans.,AR/VR
105,103,103,Google,2016,Qwiklabs,Cloud based hands-on training platform,ÃŒ_ÃŒ_ÃŒÂ¨,,Google Cloud Platform,"Cloud Computing, Information Technology, Software",2012,2012,50,50,Qwiklabs provides lab learning environments that help devs and IT pros get hands-on experience with leading cloud platforms and software.,AR/VR
106,104,104,Google,2016,LeapDroid,Android Emulator,USA,,Android,Software,2015,2015,50,50,LeapDroid developers have just announced that theyÃŒ_ÃŒ_Ã¥Ãˆll be joining Google in the near future and are stopping both development and support.,AR/VR
107,105,105,Google,2016,Eyefluence,"Eye tracking, virtual reality",ÃŒ_ÃŒ_ÃŒÂ¨,,Google VR,"Consumer Electronics, Manufacturing, Wearables",2013,2013,50,50,"Eyefluence is the first eye-interaction technology for AR, VR, and MR devices which transforms intent into action through the eyes.",AR/VR
108,106,106,Google,2016,FameBit,Branded content,ÃŒ_ÃŒ_ÃŒÂ¨,,YouTube,"Internet, Music, Video",2005,2005,5000,5000,"YouTube, a video-sharing platform, allows users to upload, view, and share videos, including movie and music clips and amateur content.",Software
109,107,107,Google,2016,API.AI,Natural language processing,USA,,Google Assistant,,,2011,,25,,Uncategorised
110,108,108,Google,2016,Urban Engines,Location-based analytics,USA,,Google Maps,"Analytics, Big Data, GovTech, Mobile, Software, Transportation",2014,2014,50,50,Urban Engines combines big data and spatial analytics to improve urban mobility.,AI/ML/Analytics
111,,,AI/ML/Analytics,,,,,,,,,,,,,Uncategorised
112,109,109,Google,2016,Apigee,API management and predictive analytics,USA,"$625,000,000 ",Google Cloud Platform,"Cloud Data Services, Enterprise Software, Information Technology",2004,2004,100,100,"Apigee is a digital business platform providing enterprise tools to help companies build and scale apps, APIs and data.
",AR/VR
113,110,110,Google,2016,Orbitera,Cloud software,USA,"$100,000,000 ",Google Cloud Platform,"Analytics, Cloud Computing, E-Commerce, Marketing Automation, SaaS, Software",2011,2011,50,50,Orbitera is a Cloud Commerce company that simplifies and automates the buying and selling of products in the cloud.,AI/ML/Analytics
114,111,111,Google,2016,LaunchKit,Mobile tool maker,USA,,Android,"Developer Tools, Mobile Apps",2015,2015,10,10,"Simple, useful tools for mobile makers.",Software
115,112,112,Google,2016,Kifi,Link management,USA,,Spaces (app),"Analytics, Artificial Intelligence, Big Data, Content Discovery, Knowledge Management",2012,2012,10,10,Connecting people with knowledge,AI/ML/Analytics
116,113,113,Google,2016,Anvato,Cloud-based video services,USA,,Google Cloud Platform,"Software, Video Conferencing, Video Streaming",2007,2007,50,50,Anvato is a video software platform that creates multiple adaptive bitrate streams for uninterrupted playback on any device or website.,AR/VR
117,114,114,Google,2016,Moodstocks,Image recognition,FRA,,Google Photos,"Artificial Intelligence, Hardware, Image Recognition,Machine Learning, Mobile, QR Codes, Real Time, Visual Search",2008,2008,10,10,Moodstocks provides an API and ready-to-use cross-platform SDK for developers to integrate scanning.,AI/ML/Analytics
118,115,115,Google,2016,Webpass,Internet service provider,USA,,Google Fiber,"Internet, ISP, Wireless",2003,2003,250,250,Webpass is a San Francisco based Internet Service Provider.,Software
119,116,116,Google,2016,Synergyse,Interactive tutorials,CAN,,Google Docs,"Apps, Search Engine, Software, Training",2013,2013,10,10,Interactive training for Google Apps,AI/ML/Analytics
120,117,117,Google,2016,Pie,Enterprise communications,SGP,,Spaces (app),"Automotive, Incubators",2009,2009,10,10,"PIE provides startups with coworking spaces, community hub, and accelerator services.",Uncategorised
121,118,118,Google,2016,BandPage,Platform for musicians,USA,,YouTube,"Consumer, Facebook, Marketplace, Music",2009,2009,50,50,BandPage is the distributed marketplace that musicians use to engage and sell to fans across the largest music services in the world,AR/VR
122,119,119,Google,2015,Fly Labs,Video editing,USA,,Google Photos,iOS,2012,2012,10,10,Fly Labs ÃŒ_ÃŒ_ÃŒÂ± Making video creativity mainstream,Software
123,120,120,Google,2015,bebop,Cloud software,USA,"$380,000,000 ",Google Cloud Platform,"Business Development, Enterprise, Enterprise Software",2012,2012,50,50,Bebop is a new development platform that makes it easy to build and maintain enterprise applications.,AR/VR
124,121,121,Google,2015,Digisfera,360-degree photography,POR,,Street View,Images,2011,2011,10,10,"Digisfera, a startup focused on panoramic images.",Uncategorised
125,122,122,Google,2015,Jibe Mobile,Rich Communication Services,USA,,Android,"File Sharing, Messaging, Mobile, Social Media",2006,2006,50,50,"Jibe Mobile, the Cloud Communications Company for Mobile Operators, provides an open end-to-end technology platform for IP Communications
",AR/VR
126,123,123,Google,2015,Oyster,E-book subscriptions,USA,,Google Play Books,"Email, Web Design, Web Hosting",2010,2010,50,50,Post-delivery tracking of direct mail,AI/ML/Analytics
127,124,124,Google,2015,Pixate,Mobile software prototyping,USA,,Android,"Computer, Enterprise Software, Mobile",2012,2012,50,50,"Pixate is a new platform for mobile interaction design. With it, you can create sophisticated interactive native prototypes without code.",AR/VR
128,125,125,Google,2015,Agawi,Mobile application streaming,USA,,"Android, Google Play","EdTech, Gaming, Mobile Apps, Mobile Devices",2010,2010,50,50,"Agawi is the world's 1st cloud-based app streaming platform for mobile, tablets and Smart TVs.",Software
129,126,126,Google,2015,Pulse.io,Mobile app optimizer,USA,,Android,"Apps, Mobile",2011,2011,10,10,Pulse.io provides a mobile app performance service that helps developers identify issues slowing down their production apps.,Software
130,127,127,Google,2015,Timeful,Mobile software,USA,,"Google Inbox, Google Calendar","Analytics, Artificial Intelligence, Database,Machine Learning, Task Management",2015,2015,50,50,Timeful is a technology company dedicated to reinventing the way that people manage their most precious resource: time.,AI/ML/Analytics
